DateTime,Vol,BidAsk,open,high,low,close
2022-10-10 00:00:00,129,-11,3636.5,3636.75,3635.25,3635.25
2022-10-10 00:02:00,110,0,3635.25,3636.25,3635.0,3636.0
2022-10-10 00:04:00,227,85,3635.75,3637.75,3635.75,3637.25
2022-10-10 00:06:00,216,2,3637.25,3637.5,3636.75,3636.75
2022-10-10 00:08:00,155,-17,3636.75,3637.25,3636.0,3636.75
2022-10-10 00:10:00,130,2,3636.5,3637.5,3636.5,3637.5
2022-10-10 00:12:00,229,9,3637.25,3638.0,3637.0,3637.5
2022-10-10 00:14:00,390,69,3637.5,3639.5,3637.5,3639.25
2022-10-10 00:16:00,647,52,3639.25,3639.75,3638.75,3639.25
2022-10-10 00:18:00,190,5,3639.0,3640.0,3638.75,3639.25
2022-10-10 00:20:00,185,-7,3639.0,3639.25,3638.0,3639.0
2022-10-10 00:22:00,146,-5,3639.0,3639.5,3638.0,3638.5
2022-10-10 00:24:00,250,-24,3638.25,3639.25,3638.0,3638.25
2022-10-10 00:26:00,175,-40,3638.25,3638.75,3637.5,3637.75
2022-10-10 00:28:00,273,-1,3637.5,3638.5,3636.25,3637.75
2022-10-10 00:30:00,154,-24,3637.75,3638.25,3637.0,3637.0
2022-10-10 00:32:00,80,3,3637.0,3637.0,3636.5,3637.0
2022-10-10 00:34:00,123,17,3637.0,3637.25,3636.75,3637.0
2022-10-10 00:36:00,147,-9,3637.0,3637.75,3637.0,3637.75
2022-10-10 00:38:00,182,63,3637.75,3638.5,3637.5,3638.25
2022-10-10 00:40:00,118,-13,3638.25,3638.5,3638.0,3638.25
2022-10-10 00:42:00,317,78,3638.0,3639.75,3638.0,3639.75
2022-10-10 00:44:00,221,-48,3639.75,3640.0,3639.0,3639.25
2022-10-10 00:46:00,350,65,3639.25,3641.0,3639.25,3640.5
2022-10-10 00:48:00,335,78,3640.5,3641.25,3639.5,3641.0
2022-10-10 00:50:00,293,-21,3640.75,3641.75,3640.5,3641.25
2022-10-10 00:52:00,198,-26,3641.0,3641.5,3640.5,3640.5
2022-10-10 00:54:00,170,-19,3640.5,3641.25,3640.25,3640.5
2022-10-10 00:56:00,229,67,3640.5,3642.25,3640.5,3642.25
2022-10-10 00:58:00,199,5,3642.25,3642.25,3640.75,3640.75
2022-10-10 01:00:00,214,-44,3640.75,3641.25,3639.75,3640.25
2022-10-10 01:02:00,259,-1,3640.5,3641.75,3639.75,3641.5
2022-10-10 01:04:00,150,-22,3641.5,3641.5,3640.0,3640.5
2022-10-10 01:06:00,163,-39,3640.75,3641.25,3639.75,3639.75
2022-10-10 01:08:00,443,-37,3639.75,3639.75,3638.25,3639.25
2022-10-10 01:10:00,155,4,3639.25,3639.5,3639.0,3639.5
2022-10-10 01:12:00,312,-66,3639.5,3640.5,3638.0,3638.0
2022-10-10 01:14:00,445,43,3638.0,3639.75,3637.75,3639.25
2022-10-10 01:16:00,205,40,3639.25,3640.25,3639.0,3640.0
2022-10-10 01:18:00,294,13,3640.0,3640.75,3639.0,3640.5
2022-10-10 01:20:00,127,11,3640.5,3640.75,3640.0,3640.5
2022-10-10 01:22:00,93,5,3640.5,3640.75,3639.75,3640.5
2022-10-10 01:24:00,164,9,3640.75,3640.75,3639.5,3640.5
2022-10-10 01:26:00,581,87,3640.75,3643.75,3640.75,3642.25
2022-10-10 01:28:00,279,-2,3642.5,3643.5,3641.75,3642.0
2022-10-10 01:30:00,461,9,3642.25,3642.25,3640.0,3640.0
2022-10-10 01:32:00,1216,-275,3640.0,3640.0,3633.75,3633.75
2022-10-10 01:34:00,297,-9,3634.0,3635.75,3634.0,3635.5
2022-10-10 01:36:00,385,152,3635.5,3636.75,3634.5,3636.25
2022-10-10 01:38:00,295,-39,3636.5,3637.0,3634.75,3635.0
