DateTime,Vol,BidAsk,open,high,low,close
2022-12-02 00:00:00,154,1,4073.75,4074.25,4073.75,4074.25
2022-12-02 00:02:00,165,-38,4074.0,4074.0,4073.0,4073.25
2022-12-02 00:04:00,110,-5,4073.5,4073.75,4073.25,4073.5
2022-12-02 00:06:00,126,-15,4073.5,4073.5,4072.75,4072.75
2022-12-02 00:08:00,184,16,4072.75,4073.5,4072.75,4073.25
2022-12-02 00:10:00,435,145,4073.25,4074.5,4073.25,4074.5
2022-12-02 00:12:00,258,2,4074.25,4074.75,4074.0,4074.5
2022-12-02 00:14:00,373,48,4074.5,4075.0,4074.25,4074.5
2022-12-02 00:16:00,282,66,4074.5,4075.0,4074.25,4075.0
2022-12-02 00:18:00,527,-22,4075.0,4075.0,4073.75,4074.0
2022-12-02 00:20:00,302,36,4074.0,4075.25,4074.0,4075.25
2022-12-02 00:22:00,239,23,4075.25,4075.25,4074.75,4074.75
2022-12-02 00:24:00,766,-256,4074.75,4075.0,4072.75,4073.25
2022-12-02 00:26:00,152,22,4073.5,4073.75,4073.25,4073.75
2022-12-02 00:28:00,266,-71,4073.75,4074.0,4073.25,4073.75
2022-12-02 00:30:00,486,-103,4073.75,4073.75,4072.5,4072.75
2022-12-02 00:32:00,280,69,4072.75,4073.75,4072.75,4073.5
2022-12-02 00:34:00,261,-39,4073.75,4073.75,4072.75,4073.0
2022-12-02 00:36:00,200,-7,4073.0,4073.25,4072.75,4072.75
2022-12-02 00:38:00,110,18,4073.0,4073.25,4072.75,4073.0
2022-12-02 00:40:00,136,-45,4072.75,4073.0,4072.5,4072.75
2022-12-02 00:42:00,241,3,4072.5,4073.0,4072.5,4072.75
2022-12-02 00:44:00,271,63,4072.75,4073.5,4072.75,4073.5
2022-12-02 00:46:00,273,36,4073.5,4074.25,4073.25,4074.0
2022-12-02 00:48:00,403,93,4074.25,4075.75,4074.25,4075.5
2022-12-02 00:50:00,465,38,4075.5,4075.75,4074.75,4075.75
2022-12-02 00:52:00,369,32,4075.5,4075.75,4074.75,4075.25
2022-12-02 00:54:00,383,0,4075.25,4075.75,4074.75,4075.0
2022-12-02 00:56:00,371,-29,4075.0,4075.5,4074.75,4075.5
2022-12-02 00:58:00,332,-24,4075.5,4075.75,4075.0,4075.25
2022-12-02 01:00:00,351,1,4075.25,4075.5,4075.0,4075.5
2022-12-02 01:02:00,185,-54,4075.5,4075.5,4074.75,4075.0
2022-12-02 01:04:00,269,15,4075.0,4076.25,4075.0,4075.75
